author_name,aliases,field_hint
Jay Keasling,,synthetic_biology
Sang Yup Lee,,metabolic_engineering
Jens Nielsen,,systems_biology
Gregory Stephanopoulos,,metabolic_engineering
Huimin Zhao,,synthetic_biology
Frances Arnold,,protein_engineering
George Church,,genome_engineering
James J. Collins,,synthetic_biology
Pamela Silver,,synthetic_biology
Christina Smolke,,synthetic_biology
Chris Voigt,,synthetic_biology
Drew Endy,,synthetic_biology
Tom Ellis,,synthetic_biology
Michael C. Jewett,,cell_free_systems
Kristala L. J. Prather,Kristala Prather,biomanufacturing
Hal S. Alper,Hal Alper,metabolic_engineering
Ramon Gonzalez,,metabolic_engineering
Ryan T. Gill,Ryan Gill,genome_engineering
Yinjie J. Tang,Yinjie Tang,metabolic_engineering
Bernhard O. Palsson,Bernhard Palsson,systems_biology
Anthony J. Sinskey,Anthony Sinskey,bioprocess
Tobias J. Erb,Tobias Erb,carbon_fixation
Yi Tang,,natural_products
David Baker,,protein_design
Jennifer Doudna,,genome_engineering
Feng Zhang,,genome_engineering
Emmanuelle Charpentier,,genome_engineering
Dan G. Gibson,Dan Gibson,synthetic_genomics
J. Craig Venter,Craig Venter,synthetic_genomics
Hamilton O. Smith,Hamilton Smith,synthetic_genomics
Clyde Hutchison,,synthetic_genomics
John I. Glass,John Glass,synthetic_genomics
Jeff Hasty,,synthetic_biology
Lingchong You,,synthetic_biology
Timothy K. Lu,Timothy Lu,synthetic_biology
Wendell A. Lim,Wendell Lim,synthetic_biology
Ron Weiss,,synthetic_biology
June Medford,,plant_synthetic_biology
Reshma Shetty,,synthetic_biology
Radhakrishnan Mahadevan,,metabolic_engineering
Mattheos Koffas,,metabolic_engineering
George M. Whitesides,George Whitesides,microfluidics
Ali Khademhosseini,,bioengineering
Markus Ralser,,metabolism
Martin Fussenegger,,synthetic_biology
Wilfried Weber,,synthetic_biology
Mikhail Shapiro,,bioengineering
Christina Agapakis,,industrial_biotechnology
Jason Kelly,,industrial_biotechnology
Patrick Boyle,,industrial_biotechnology
Tom Knight,,synthetic_biology
Dan Widmaier,,industrial_biotechnology
Richard Kitney,,synthetic_biology
Paul Freemont,,synthetic_biology
Andrew Ellington,,synthetic_biology
Gerald Joyce,,directed_evolution
Peter Schultz,,chemical_biology
David Liu,,genome_engineering
Alice Ting,,protein_engineering
Carolyn Bertozzi,,chemical_biology
James Liao,,metabolic_engineering
Chaitan Khosla,,natural_products
James Bowie,,protein_engineering
Douglas Clark,,bioprocess
Douglas Densmore,,synthetic_biology
Geoff Baldwin,,synthetic_biology
Guy-Bart Stan,,synthetic_biology
Richard Murray,,synthetic_biology
Calin Belta,,synthetic_biology
Adam Arkin,,systems_biology
Christopher Anderson,,synthetic_biology
Patrick Cai,,synthetic_genomics
Harris Wang,,genome_engineering
Farren Isaacs,,genome_engineering
Chang Liu,,directed_evolution
Stanley Qi,,genome_engineering
Xue Gao,,genome_engineering
Xiaoxia Nina Lin,Nina Lin,synthetic_biology
Michelle Chang,,metabolic_engineering
Ophelia Venturelli,,microbiome_engineering
Julius Lucks,,rna_engineering
Matthew DeLisa,Matt DeLisa,bioprocess
Wilfred Chen,,biomolecular_engineering
Eleftherios Papoutsakis,,bioprocess
Michael Betenbaugh,,cell_line_engineering
Nigel Titchener-Hooker,,bioprocess
Michael Shuler,,bioprocess
Linda Griffith,,bioengineering
Anurag S. Rathore,Anurag Rathore,bioprocess
Kelvin H. Lee,Kelvin Lee,bioprocess
Yingjin Yuan,袁英进,biomanufacturing
Tianwei Tan,谭天伟,biomanufacturing
Jian Chen,陈坚,biomanufacturing
Guocheng Du,堵国成,biomanufacturing
Long Liu,刘龙,biomanufacturing
Tao Chen,陈涛,metabolic_engineering
Hongwu Ma,马红武,systems_biology
Xueli Zhang,张学礼,metabolic_engineering
Lixin Zhang,张立新,natural_products
Jianhe Xu,许建和,biocatalysis
